title,longitude,latitude,elevation
Mt. Elbert,-106.4454,39.1178,14433
Mt. Massive,-106.4757,39.1875,14421
Mt. Harvard,-106.3207,38.9244,14420
Blanca Peak,-105.4856,37.5775,14345
La Plata Peak,-106.4729,39.0294,14336
Uncompahgre Peak,-107.4621,38.0717,14309
Crestone Peak,-105.5855,37.9669,14294
Mt. Lincoln,-106.1116,39.3515,14286
Grays Peak,-105.8176,39.6339,14270
Mt. Antero,-106.2462,38.6741,14269
Torreys Peak,-105.8212,39.6428,14267
Quandary Peak,-106.1064,39.3973,14265
Castle Peak,-106.8614,39.0097,14265
Mt. Evans,-105.6438,39.5883,14264
Longs Peak,-105.6151,40.255,14255
Mt. Wilson,-107.9916,37.8391,14246
Mt. Shavano,-106.2393,38.6192,14229
Mt. Princeton,-106.2424,38.7492,14197
Crestone Needle,-105.5766,37.9647,14197
Mt. Belford,-106.3607,38.9607,14197
Mt. Yale,-106.3138,38.8442,14196
Mt. Bross,-106.1077,39.3354,14172
Kit Carson Peak,-105.6026,37.9797,14165
Maroon Peak,-106.989,39.0708,14156
Tabeguache Peak,-106.2509,38.6255,14155
Mt. Oxford,-106.3388,38.9648,14153
Mt. Sneffels,-107.7923,38.0038,14150
Mt. Democrat,-106.14,39.3396,14148
Capitol Peak,-107.0829,39.1503,14130
Pikes Peak,-105.0442,38.8405,14110
Snowmass Mountain,-107.0665,39.1188,14092
Mt. Eolus,-107.6227,37.6218,14083
Windom Peak,-107.5919,37.6212,14082
Challenger Point,-105.6066,37.9804,14081
Mt. Columbia,-106.2975,38.9039,14073
Missouri Mountain,-106.3785,38.9476,14067
Humboldt Peak,-105.5552,37.9762,14064
Mt. Bierstadt,-105.6688,39.5826,14060
Sunlight Peak,-107.5959,37.6274,14059
Handies Peak,-107.5044,37.913,14048
Culebra Peak,-105.1858,37.1224,14047
Ellingwood Point,-105.4927,37.5826,14042
Mt. Lindsey,-105.4449,37.5837,14042
Little Bear Peak,-105.4972,37.5666,14037
Mt. Sherman,-106.1699,39.225,14036
Redcloud Peak,-107.4219,37.941,14034
Pyramid Peak,-106.9502,39.0717,14018
Wilson Peak,-107.9847,37.8603,14017
Wetterhorn Peak,-107.5109,38.0607,14015
San Luis Peak,-106.9313,37.9868,14014
Mt. of the Holy Cross,-106.4817,39.4668,14005
Huron Peak,-106.4381,38.9455,14003
Sunshine Peak,-107.4256,37.9228,14001
